SimID,L,Haploid,monoecious,omega,complete,U,sigma,distance_1,distance_2,DeltaPhenExp_1,DeltaPhenExp_2,DeltaGenExp_1,DeltaGenExp_2,DeltaPhenShift,DeltaGenShift,ExtRisk
8947,4,FALSE,TRUE,1,0,0.015,0.14142135623731,650,631,0.331013758160166,0.258925171720472,-2.3910867666739,-2.38082413640469,0.376460252943061,-2.39401075718854,0
8948,4,FALSE,TRUE,1,0,0.015,0.14142135623731,586,492,0.260704986876952,-0.0561833565587484,-2.6679503060719,-2.67169129140712,0.372385393335684,-2.6703202924733,0
8949,4,FALSE,TRUE,1,0,0.015,0.14142135623731,564,510,0.10106773207807,-0.103606771283332,-1.43286627639564,-1.43219911701407,0.159429240263381,-1.43348062255682,0
8950,4,FALSE,TRUE,1,0,0.015,0.14142135623731,562,614,0.195489495180001,0.383612080402375,-1.86377581533355,-1.83622591618761,NA,NA,1
8951,4,FALSE,TRUE,1,0,0.015,0.14142135623731,397,426,-0.0313800005815221,0.0542337746165724,-0.294899250977877,-0.301622610826786,NA,NA,1
8952,4,FALSE,TRUE,1,0,0.015,0.14142135623731,655,635,0.267084862710987,0.247503582564843,-0.70604377013013,-0.706151133390874,0.266742838343687,-0.707031017984193,0
8953,4,FALSE,TRUE,1,0,0.015,0.14142135623731,684,694,0.239219097480285,0.310564914540722,-1.62196915410789,-1.61931250784136,0.304548718926808,-1.62051250431877,0
8954,4,FALSE,TRUE,1,0,0.015,0.14142135623731,564,477,0.111936518473132,-0.136309652465668,-0.853141979508974,-0.851557879544717,0.240245711358203,-0.853554778450213,0
8955,4,FALSE,TRUE,1,0,0.015,0.14142135623731,646,593,0.18282167064042,-0.113389669846935,-1.87615696702413,-1.86962560417066,0.322586451039953,-1.8649083559113,0
8956,4,FALSE,TRUE,1,0,0.015,0.14142135623731,632,556,0.216184056028607,0.032793727050896,-1.51526998903945,-1.5155441180488,-0.0063583155859408,-1.51662802848409,0
8957,4,FALSE,TRUE,1,0,0.015,0.14142135623731,535,486,0.180525840941945,0.0460443081723501,-0.956205839319383,-0.954616882804252,NA,NA,1
8958,4,FALSE,TRUE,1,0,0.015,0.14142135623731,697,666,0.509200051271287,0.470406429954801,-1.97904353279955,-1.96987316273586,0.503950312050391,-1.98003892650394,0
8959,4,FALSE,TRUE,1,0,0.015,0.14142135623731,538,637,0.0708327700476665,0.403961455546608,-1.70548338111752,-1.70894242259836,NA,NA,1
8960,4,FALSE,TRUE,1,0,0.015,0.14142135623731,531,420,0.162423706370845,-0.232418610990373,-0.822039794261242,-0.793788908215756,NA,NA,1
8961,4,FALSE,TRUE,1,0,0.015,0.14142135623731,507,468,0.173687106559115,0.181745879965098,-0.735586619178161,-0.731252719174225,NA,NA,1
8962,4,FALSE,TRUE,1,0,0.015,0.14142135623731,597,556,0.237217232725517,0.121433107622709,-1.84896057077549,-1.86040477089215,NA,NA,1
8963,4,FALSE,TRUE,1,0,0.015,0.14142135623731,508,478,0.156994981219339,0.0114512653306842,-0.854729269375796,-0.85636080042254,NA,NA,1
