SimID,L,Haploid,monoecious,omega,complete,PhenExp_1,PhenExp_2,GenExp_1,GenExp_2,PhenShift,GenShift
8664,2,FALSE,TRUE,0.5,1,1.51607773920149,1.57728206013676,0.33409550201252,0.0880487868635833,1.68449481284517,0.0190726134235626
8665,2,FALSE,TRUE,0.5,1,1.55425252680357,1.62418190045705,0.109363501974346,0.0812885458457851,NA,NA
8666,2,FALSE,TRUE,0.5,1,1.6863837728532,1.69663503077086,0.177053587077674,0.228474652369947,NA,NA
8667,2,FALSE,TRUE,0.5,1,1.73845176949335,1.80478011586156,0.463932529877544,0.196790276655214,1.8085387197707,0.015106960520952
8668,2,FALSE,TRUE,0.5,1,1.41179269285303,1.43771061865583,0.0752107660849475,0.0342616202347776,NA,NA
8669,2,FALSE,TRUE,0.5,1,1.65659478762047,1.67516279502935,0.348131694386494,0.355779722914741,NA,NA
8670,2,FALSE,TRUE,0.5,1,1.84709526753977,1.83153853973721,0.17703504493445,0.183481253017322,1.64206027138849,0.00300694077730032
8671,2,FALSE,TRUE,0.5,1,1.29440386555019,1.21979676235762,0.334071980648516,0.0979436948473172,NA,NA
8672,2,FALSE,TRUE,0.5,1,1.55628364716317,1.53936349911235,0.267018973854502,0.0208976233649022,1.57693189262053,0.030143016528625
8673,2,FALSE,TRUE,0.5,1,1.63851071331152,1.81287798627691,0.385383243037493,0.100763666614316,1.66771197421006,0.00968395542486504
8674,2,FALSE,TRUE,0.5,1,2.23888543309371,2.26550985536503,0.431963549538223,0.368177460255247,2.18284895819725,0.0246441808363164
8675,2,FALSE,TRUE,0.5,1,1.7973740701334,1.62837980760425,0.316937293729151,0.426128186226585,1.7125976000159,0.0716502149036298
8676,2,FALSE,TRUE,0.5,1,1.44168650614803,1.62758566270169,0.320066394647434,0.190398390648678,NA,NA
8677,2,FALSE,TRUE,0.5,1,1.40014246710472,1.48681889356756,0.169347966164927,0.123618618631496,1.54485783193111,0.049034979539914
8678,2,FALSE,TRUE,0.5,1,2.21725437846372,2.23300607815702,0.710569747691755,0.0522419291808763,2.15766929354097,0.00416606072980481
8679,2,FALSE,TRUE,0.5,1,1.80645942926284,1.83223543982046,0.588035933902281,0.35101354705919,1.82518994010917,0.0390509308878214
8680,2,FALSE,TRUE,0.5,1,1.56391712658488,1.65457586716096,0.793748516708969,0.0677263790372841,1.74639503747488,0.0131060292339066
8681,2,FALSE,TRUE,0.5,1,1.51386401628823,1.47255484845017,0.244403448785966,0.219564439545947,NA,NA
8682,2,FALSE,TRUE,0.5,1,1.76985073149683,1.71892618962067,0.319673440808633,0.10195857581484,1.63811885263572,0.0125938671724594
8683,2,FALSE,TRUE,0.5,1,1.37311784315389,1.47274418849131,0.433798350293143,0.366418403064333,NA,NA
8684,2,FALSE,TRUE,0.5,1,2.21575777616237,2.33395452196782,0.305133774673762,0.408585894036278,2.09789415330394,0.0575041127338992
8685,2,FALSE,TRUE,0.5,1,1.54911041539145,1.43855354203045,0.389494668314482,0.45007102243538,NA,NA
8686,2,FALSE,TRUE,0.5,1,1.78557452524738,1.77530374772842,0.194579072363171,0.393742737015007,1.90420589495579,0.00383117390164774
8687,2,FALSE,TRUE,0.5,1,1.48738654158923,1.6441224680733,0.272245708732438,0.197327817335716,NA,NA
8688,2,FALSE,TRUE,0.5,1,1.80023893372431,1.83223065843389,0.960806142587432,0.220701440973239,NA,NA
8689,2,FALSE,TRUE,0.5,1,1.60252664957145,1.5195596879906,0.855060167979052,0.0405780360506779,1.65296578012707,0.0264371242107597
8690,2,FALSE,TRUE,0.5,1,1.42071113730351,1.33667174981234,0.387558040033325,0.166226915176214,NA,NA
8691,2,FALSE,TRUE,0.5,1,1.73637106046887,1.87056423875978,0.0273906771300443,0.216440543343189,1.83394882510109,0.00710620763655456
8692,2,FALSE,TRUE,0.5,1,1.65716662401353,1.64759444722375,0.295423526453491,0.159283682609427,1.65974663064793,0.00529160756628853
8693,2,FALSE,TRUE,0.5,1,1.67698236946007,1.40630598719005,0.343990762254348,0.307806824032887,1.69905973010719,0.00685877767178592
8694,2,FALSE,TRUE,0.5,1,1.48031343946116,1.56495333133116,0.0644036737490344,0.305103394726839,NA,NA
8695,2,FALSE,TRUE,0.5,1,1.70054599154232,1.66469349668473,0.136877906801951,0.2531495007891,NA,NA
8696,2,FALSE,TRUE,0.5,1,1.68544758650331,1.53760563286435,0.184362641694373,0.629265206873459,1.71756884578954,0.0153251250661192
8697,2,FALSE,TRUE,0.5,1,2.11098789035421,2.20262442982512,0.358563991040778,0.346005574827892,2.29898623825359,0.0112320884019691
8698,2,FALSE,TRUE,0.5,1,2.10289008806455,2.03638634807966,0.12964084397511,0.520236727897254,1.65790176020491,0.0220999251395019
8699,2,FALSE,TRUE,0.5,1,1.89575756209417,1.91243653584783,0.0587165815104779,0.074977187207594,2.09787788874785,0.00903952751243937
8700,2,FALSE,TRUE,0.5,1,2.02207776297653,2.08814415473934,0.590738666765937,0.393178799017194,1.72207149871585,0.011076203514996
8701,2,FALSE,TRUE,0.5,1,1.27836449659565,1.26127580095971,0.0858184119209015,0.218091517554453,NA,NA
8702,2,FALSE,TRUE,0.5,1,1.89867164366524,1.83547024191087,0.28752323370543,0.198782254205392,NA,NA
8703,2,FALSE,TRUE,0.5,1,2.01257361842471,2.06481066073217,0.504067166526233,0.374361946147466,1.91561199588879,0.0294631596652713
8704,2,FALSE,TRUE,0.5,1,1.49250830253424,1.54988454435599,0.479162258737237,0.0815573765173261,1.75717274843433,0.0514095022938325
8705,2,FALSE,TRUE,0.5,1,1.58986952564234,1.67190605701946,0.503099619298325,0.157844368080137,NA,NA
8706,2,FALSE,TRUE,0.5,1,1.52696636821506,1.49945253757903,0.0957852884466017,0.0547584835135136,1.79526419182674,0.0946930126822954
8707,2,FALSE,TRUE,0.5,1,1.43034867324175,1.38000997033012,0.350900768325608,0.0961718106529583,NA,NA
8708,2,FALSE,TRUE,0.5,1,1.92686393542535,1.99801532575642,0.573679395984244,0.166284247214458,2.11079239974013,0.0326590219296948
8709,2,FALSE,TRUE,0.5,1,1.84638032060763,1.88300553531742,1.1758577811244,0.245777874797549,1.83197444605565,0.00911917841370539
8710,2,FALSE,TRUE,0.5,1,1.37632279198609,1.36075003786795,0.0750787774045975,0.091131156402791,NA,NA
8711,2,FALSE,TRUE,0.5,1,1.77259840049658,1.9694049845966,0.19993821435148,0.31260399182956,1.89277297421269,0.0419004757357529
8712,2,FALSE,TRUE,0.5,1,2.19341779435122,1.93020399274302,0.362120488980825,0.152109927921571,2.05023095171392,0.0422899303433925
8713,2,FALSE,TRUE,0.5,1,2.14815340743219,2.17340886785898,0.020945417123106,0.385831417307517,2.17931196776464,0.0185534827282646
8714,2,FALSE,TRUE,0.5,1,1.77524300267425,1.70795138241079,0.123197466416989,0.506709795976607,1.74504720477289,0.00401172474302842
8715,2,FALSE,TRUE,0.5,1,1.82388503117293,1.67847914726161,0.100277404936759,0.334195001286266,1.60489092670882,0.00135259812544094
8716,2,FALSE,TRUE,0.5,1,1.58734451903357,1.63248336278563,0.0543129256532722,0.213565116561602,NA,NA
8717,2,FALSE,TRUE,0.5,1,1.53695039918923,1.52332846739035,0.476297227629133,0.151421302820715,1.64960196878058,0.00849012813063034
8718,2,FALSE,TRUE,0.5,1,1.61603400312667,1.54516074970645,0.361346007593634,0.206661006835252,1.60064898081566,0.0028615874300742
8719,2,FALSE,TRUE,0.5,1,1.81444686446813,1.80690192580975,0.268784596041048,0.972342922384265,1.57068596103451,0.0120423197746103
8720,2,FALSE,TRUE,0.5,1,1.72644328396111,1.76951712212906,0.517939388398188,0.980329653791528,1.68926721345433,0.010264837837401
8721,2,FALSE,TRUE,0.5,1,2.11688610541209,1.94111364993063,0.518867227927215,0.518255778275483,1.86550514625633,0.00615969657465301
8722,2,FALSE,TRUE,0.5,1,1.69453034693862,1.85559506399296,0.145150856931554,0.0507635006182036,1.76657416386393,0.0759362963753225
8723,2,FALSE,TRUE,0.5,1,1.48162049349877,1.48000686783759,0.0189923375395786,0.0480047836282164,NA,NA
