SimID,L,Haploid,monoecious,omega,complete,MeanPhen,GenVar,SummedGenVar
128,1,TRUE,TRUE,0,1,1.33541688013388,1.96075103372934,NA
129,1,TRUE,TRUE,0,1,1.26405803532351,1.64506652051561,NA
130,1,TRUE,TRUE,0,1,1.39149335177522,2.2697143190381,NA
131,1,TRUE,TRUE,0,1,1.55496326012527,5.09951329390484,NA
132,1,TRUE,TRUE,0,1,1.35882208342769,3.22224977514791,NA
133,1,TRUE,TRUE,0,1,1.33493351565108,3.62585691907609,NA
134,1,TRUE,TRUE,0,1,1.23653294009153,0.706873864464294,NA
135,1,TRUE,TRUE,0,1,1.30339160065972,1.00751625915698,NA
136,1,TRUE,TRUE,0,1,1.59625385991979,2.9671879577499,NA
137,1,TRUE,TRUE,0,1,1.5614009441159,0.912847148560029,NA
138,1,TRUE,TRUE,0,1,1.15387154325556,0.578230504351597,NA
139,1,TRUE,TRUE,0,1,1.19680856472862,0.651791299773891,NA
140,1,TRUE,TRUE,0,1,1.50684233232134,0.830581100400812,NA
141,1,TRUE,TRUE,0,1,1.64977355136862,2.00703580697284,NA
142,1,TRUE,TRUE,0,1,1.19953810078107,2.26887079973824,NA
143,1,TRUE,TRUE,0,1,1.51419115055115,1.43408486282155,NA
144,1,TRUE,TRUE,0,1,1.30671496865826,0.944470955194979,NA
145,1,TRUE,TRUE,0,1,1.5387552306668,1.03517354671152,NA
146,1,TRUE,TRUE,0,1,1.53803864480096,3.78186378472693,NA
147,1,TRUE,TRUE,0,1,1.53886867963265,0.816795353197889,NA
148,1,TRUE,TRUE,0,1,1.42247365531571,1.72754133128812,NA
149,1,TRUE,TRUE,0,1,1.27902412739492,0.652298337440822,NA
150,1,TRUE,TRUE,0,1,1.345986191883,2.06605386518999,NA
151,1,TRUE,TRUE,0,1,1.67456186936474,2.88826431145092,NA
152,1,TRUE,TRUE,0,1,1.16739601420104,1.71644208619684,NA
153,1,TRUE,TRUE,0,1,1.50535816275216,0.667006534087689,NA
154,1,TRUE,TRUE,0,1,1.33536401980897,1.86829298025121,NA
